编号,问题描述,严重度,修改建议,状态
R-01,光伏装机口径不一致：正文反复"200MW"而《光伏基本情况》三期合计191.07MWp；已并网100MW与三期布局对应关系未说明,🔴 致命,统一为"规划约200MW其中已分三期布局191MWp(已并网约100MW)其余结合场站化改造扩展至200MW"全文及两表一致,已整改
R-02,零碳运输指标自相矛盾：正文/下一步"首批50辆20万吨"与表2"期满200辆80万吨"三处口径打架,🔴 致命,采用分档表述：达标值首批≥50辆单程≥100km年运量≥20万吨；争先值期满≥200辆≥80万吨；表格正文下一步统一,已整改
R-03,"450公里"误置于"单程运输距离≥100公里"达成项：450km是覆盖路段总里程非单程运输距离易判答非所问,🟠 严重,拆分：示范线路津石保定—沧州段单程≥100km(满足门槛)；项目覆盖路段总里程约450km作为规模优势单列,已整改
R-04,指标二(自发自用比例)缺自下而上测算仅定性"可达60%/30%以上",🟠 严重,补能量平衡测算表：装机×等效利用小时(三档)得年可用发电量按表1的65%消纳结构折算各场景自用电量得出两项比例参数标注本项目测算,已整改
R-05,投资分项表"消纳占比"列含义未定义发电/储能行为"—"且65%与60%门槛关系未说明,🟠 严重,加表题表注：消纳占比=该场景年消纳绿电量/年可用发电量；发电储能属供给调节侧不计占比记"—"；自用合计65%支撑指标二≥60%,已整改
R-06,竞争力未充分对标2025指引：电池银行/综合补能平台/碳足迹核算CCER/碳达峰机制着墨偏少,🟠 严重,显性补强电池银行+综合补能运营服务平台+重卡碳足迹核算与碳减排方法学+CCER绿证形成绿电-补能-零碳运输-碳资产闭环,已整改
R-07,储能口径与单价依据缺失：已投运32MWh→150MWh表1储能15000万(≈1.0元/Wh)未标依据,🟡 重要,统一150MWh目标与32MWh现状；表注标储能单位造价区间0.9-1.1元/Wh(含PCS/BMS/EPC)来源本项目测算,已整改
R-08,路段与主体专有名词一致性：京秦高速遵秦段/遵秦高速/新元高速混用主体名称首次出现未约定简称,🟡 重要,建立名称对照统一"京秦高速遵秦段(遵秦高速)"等；专有名词首次全称其后简称全文一致,已整改
R-09,安全韧性未量化：指引要求提升20%及以上汇报仅定性提核心业务不中断,🟡 重要,补量化：核心业务应急保供时长≥2小时断电不中断路段安全韧性较改造前提升不低于20%,已整改
R-10,碳减排成效未量化缺年减排量与核算口径,🟡 重要,按年自用绿电量与河北电网排放因子测算年减排CO2当量(标注本项目测算)说明纳入碳足迹核算与CCER开发路径,已整改
R-11,标点与口语化表述：(一)段末多余引号句号"自给自足。”。"；充电宝/友好适配口语化；中西文引号混用,🔵 建议,清理多余标点统一中文标点；口语化改规范公文语态保留必要比喻时加引号,已整改
R-12,公文要素不全：缺标题层级编号/落款单位/日期/联系人；两表缺表题表号表注,🔵 建议,补齐公文要素统一"一、(一)1."层级文末补汇报单位日期联系人占位表格加表号表题表注,已整改
R-13,关键参数缺出处标注：等效利用小时/电耗/运量未注来源,🔵 建议,第三方数据标注来源内部测算统一标注本项目测算,已整改
