编号,文档,问题描述,严重度,修改建议,责任项,状态
G-01,文档1/4,选址自相矛盾：文档1摘要写"在横琴规划建设"结论写"立足宁德"；文档4出现"与大湾区干细胞存储平台数据互联",🔴 致命,全局搜索"横琴/大湾区/粤港澳"统一为唯一落点并删除一切残留,项目总协调人,待整改
G-02,文档1/4/5,"院士"称谓失实：AIMBE Fellow + NAI Fellow被表述为"院士"与中国两院院士/美国NAS·NAE国家院士混淆,🔴 致命,全部改为"Fellow（会士）"并删除或注释"非两院院士",人事/品牌负责人,待整改
G-03,文档1/5,疗效宣称与合规路径冲突：60+产品定位膳食补充剂却宣称"治愈HPV/抗肿瘤/清除幽门螺杆菌"等疾病疗效,🔴 致命,区分健康产品与在研药品；健康产品改用合规结构功能宣称；药品类附注册类别与临床阶段；增加合规声明章节,法规事务/首席科学家,待整改
G-04,文档3,储能投资分项表整体复制风电表：费用类别写"风电机组采购及安装/3800元/kW"小计25亿与储能标称4.8亿完全不符,🔴 致命,按磷酸铁锂储能实际造价（电芯+PCS+BMS+EPC+升压站）重新编制分项,文档3编制团队,待整改
G-05,文档3,收入表Excel/OCR错误："3^4""1^2""12月15日"等应为数值区间,🔴 致命,逐单元格校对数值；统一用"~"或"至"表示区间；重新排版表格,文档3编制团队,待整改
G-06,全部,结论先行缺自下而上测算：产值/税收/带动值均为整数大数无推导公式与参数表,🟠 严重,每个财务结论附测算公式+关键参数+三档情景；增加敏感性分析,各文档财务负责人,待整改
G-07,文档1/4,研发周期与成本脱离行业现实：文档1"5年拿10-25个国药准字每个约1亿"文档4"5年5-8个IND/2-3个上市",🟠 严重,改为行业区间值并注明成功率；用漏斗式管线图；近期里程碑改为可达目标,首席科学家/法规事务,待整改
G-08,文档1/2,同一文档内数据自相矛盾：文档2中国原料供应占比"超50%"与"65%"打架,🟡 重要,建立统一数据口径表（来源+年份+口径定义）全文引用同一组数字,各文档编辑,待整改
G-09,全部,数据缺少出处：大量市场/产值/人口数据无来源标注,🟡 重要,所有第三方数据标注出处机构+年份+口径；内部测算标注"本项目测算",各文档编辑,待整改
G-10,文档2,页码/页眉错误：页脚"共28页"但实际36页,🔵 建议,修正页脚自动字段,文档2编辑,待整改
